mesh_code_3rd	osm_road_length	diff_length	diff_percentage	wkt
54390127	1922.88022660039	-397	-26.09	MULTIPOLYGON(((139.212500000002 36.0166666690672,139.212500000002 36.0250000024009,139.225000000002 36.0250000024009,139.225000000002 36.0166666690672,139.212500000002 36.0166666690672)))
54390128	1574.78266922306	-4	-0.30	MULTIPOLYGON(((139.225000000002 36.0166666690672,139.225000000002 36.0250000024009,139.237500000002 36.0250000024009,139.237500000002 36.0166666690672,139.225000000002 36.0166666690672)))
54390129	3513.78061721514	-1306	-59.21	MULTIPOLYGON(((139.237500000002 36.0166666690672,139.237500000002 36.0250000024009,139.250000000002 36.0250000024009,139.250000000002 36.0166666690672,139.237500000002 36.0166666690672)))
54390130	3087.82133104195	-1815	-142.75	MULTIPOLYGON(((139.125000000002 36.0250000024009,139.125000000002 36.0333333357345,139.137500000002 36.0333333357345,139.137500000002 36.0250000024009,139.125000000002 36.0250000024009)))
54390133	5438.91925399298	-3284	-152.50	MULTIPOLYGON(((139.162500000002 36.0250000024009,139.162500000002 36.0333333357345,139.175000000002 36.0333333357345,139.175000000002 36.0250000024009,139.162500000002 36.0250000024009)))
54390134	4664.91223612334	-2817	-152.56	MULTIPOLYGON(((139.175000000002 36.0250000024009,139.175000000002 36.0333333357345,139.187500000002 36.0333333357345,139.187500000002 36.0250000024009,139.175000000002 36.0250000024009)))
54390135	2835.87943409845	-919	-48.01	MULTIPOLYGON(((139.187500000002 36.0250000024009,139.187500000002 36.0333333357345,139.200000000002 36.0333333357345,139.200000000002 36.0250000024009,139.187500000002 36.0250000024009)))
54390136	3406.32178188083	-559	-19.64	MULTIPOLYGON(((139.200000000002 36.0250000024009,139.200000000002 36.0333333357345,139.212500000002 36.0333333357345,139.212500000002 36.0250000024009,139.200000000002 36.0250000024009)))
54390137	1409.79284232969	-189	-15.55	MULTIPOLYGON(((139.212500000002 36.0250000024009,139.212500000002 36.0333333357345,139.225000000002 36.0333333357345,139.225000000002 36.0250000024009,139.212500000002 36.0250000024009)))
54390138	1813.68659327453	-444	-32.48	MULTIPOLYGON(((139.225000000002 36.0250000024009,139.225000000002 36.0333333357345,139.237500000002 36.0333333357345,139.237500000002 36.0250000024009,139.225000000002 36.0250000024009)))
54390139	4001.56336109366	-2621	-189.96	MULTIPOLYGON(((139.237500000002 36.0250000024009,139.237500000002 36.0333333357345,139.250000000002 36.0333333357345,139.250000000002 36.0250000024009,139.237500000002 36.0250000024009)))
54390140	5198.29563192689	-2366	-83.55	MULTIPOLYGON(((139.125000000002 36.0333333357345,139.125000000002 36.0416666690681,139.137500000002 36.0416666690681,139.137500000002 36.0333333357345,139.125000000002 36.0333333357345)))
54390141	1639.85230336945	-1217	-288.59	MULTIPOLYGON(((139.137500000002 36.0333333357345,139.137500000002 36.0416666690681,139.150000000002 36.0416666690681,139.150000000002 36.0333333357345,139.137500000002 36.0333333357345)))
54390142	1013.17140400283	-87	-9.41	MULTIPOLYGON(((139.150000000002 36.0333333357345,139.150000000002 36.0416666690681,139.162500000002 36.0416666690681,139.162500000002 36.0333333357345,139.150000000002 36.0333333357345)))
54390143	5062.68563614763	-1834	-56.83	MULTIPOLYGON(((139.162500000002 36.0333333357345,139.162500000002 36.0416666690681,139.175000000002 36.0416666690681,139.175000000002 36.0333333357345,139.162500000002 36.0333333357345)))
54390144	7778.38861571491	-2044	-35.65	MULTIPOLYGON(((139.175000000002 36.0333333357345,139.175000000002 36.0416666690681,139.187500000002 36.0416666690681,139.187500000002 36.0333333357345,139.175000000002 36.0333333357345)))
54390145	4490.45790337158	-189	-4.40	MULTIPOLYGON(((139.187500000002 36.0333333357345,139.187500000002 36.0416666690681,139.200000000002 36.0416666690681,139.200000000002 36.0333333357345,139.187500000002 36.0333333357345)))
54390146	1256.14616777262	-69	-5.82	MULTIPOLYGON(((139.200000000002 36.0333333357345,139.200000000002 36.0416666690681,139.212500000002 36.0416666690681,139.212500000002 36.0333333357345,139.200000000002 36.0333333357345)))
54390147	3273.6146773422	-2469	-307.16	MULTIPOLYGON(((139.212500000002 36.0333333357345,139.212500000002 36.0416666690681,139.225000000002 36.0416666690681,139.225000000002 36.0333333357345,139.212500000002 36.0333333357345)))
